kind,name,creation_order,shape_type,center,size,props
domain,cabinet.1,1,shape_hexa,"[0.2, 0.325, 0.15]","[0.3, 0.45, 0.2]",grid_priority=0.0
plate,plate.1,2,shape_quad,"[0.2, 0.3, 0.12]","[0.2, 0.2, 0.0]",plate_type=conduct_thick grid_priority=11.0
block,block.1.2.2,3,shape_cyl,"[0.25, 0.35, 0.13]",,block_type=solid grid_priority=8.0
block,block.1.2.1,3,shape_cyl,"[0.25, 0.3, 0.13]",,block_type=solid grid_priority=7.0
block,block.1.1,3,shape_cyl,"[0.2, 0.25, 0.13]",,block_type=solid grid_priority=3.0
block,block.1.2,3,shape_cyl,"[0.25, 0.25, 0.13]",,block_type=solid grid_priority=6.0
block,block.1.3,3,shape_cyl,"[0.15, 0.3, 0.13]",,block_type=solid grid_priority=9.0
block,block.1.1.2,3,shape_cyl,"[0.2, 0.35, 0.13]",,block_type=solid grid_priority=5.0
block,block.1.1.1,3,shape_cyl,"[0.2, 0.3, 0.13]",,block_type=solid grid_priority=4.0
block,block.1.4,3,shape_cyl,"[0.15, 0.35, 0.13]",,block_type=solid grid_priority=10.0
block,block.1,3,shape_cyl,"[0.15, 0.25, 0.13]",,block_type=solid grid_priority=2.0
source,source.1.1,4,shape_quad,"[0.25, 0.25, 0.12]","[0.06, 0.06, 0.0]",temp=1.0 grid_priority=13.0
source,source.1.2,4,shape_quad,"[0.15, 0.35, 0.12]","[0.06, 0.06, 0.0]",temp=1.0 grid_priority=15.0
source,source.1.1.1,4,shape_quad,"[0.25, 0.35, 0.12]","[0.06, 0.06, 0.0]",temp=1.0 grid_priority=14.0
source,source.1,4,shape_quad,"[0.15, 0.25, 0.12]","[0.06, 0.06, 0.0]",temp=1.0 grid_priority=12.0
