row,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
0,domain,0,-0.02,-0.106146,-0.0024384,0.17,0.0050038,0.016003,0.000461036,0.00135549,1e+37,0.00247567,1,0.000476,1,0.0002286,1,0.00265367,1,0.000215967,1,0.0007,1.48349
1,hexa,1,-0.0046226,-0.104718,0,0.162039,0.0043559,0.00156464,1,0.166662,0.109074,0.00156464,0.00299907,0.00265367,0.000476,0.000215967,0.00019431,0.00012192,1.65096,1,1,1,2.33333,2.33333,4e-05,1
2,quad,2,xy,-0.0046226,-0.104718,4.5e-05,0.162039,0.0043559,4.5e-05,1,0.166662,0.109074,4.5e-05,0.0001326,0.000702925,4.318,2.33333,1
3,quad,3,xy,-0.0046226,-0.104718,0.000487,0.162039,0.0043559,0.000487,1,0.00264542,0.00143518,0.0003094,5.5e-05,0.000702925,1,4.85455,1.28887
4,quad,4,xy,-0.0046226,-0.104718,0.000542,0.162039,0.0043559,0.000542,1,0.00264542,0.00143518,5.5e-05,0.000267,0.000702925,5.62545,1,1.28887
5,quad,5,xy,-0.0046226,-0.104718,0.001009,0.162039,0.0043559,0.001009,1,0.00264542,0.00143518,0.0002,6.2e-05,0.000702925,1.335,3.22581,1.28887
6,quad,6,xy,-0.0046226,-0.104718,0.001071,0.162039,0.0043559,0.001071,1,0.00264542,0.00143518,6.2e-05,0.0002,0.000702925,3.22581,1.2682,1.28887
7,quad,7,xy,-0.0046226,-0.104718,0.00152464,0.162039,0.0043559,0.00152464,1,0.00264542,0.00143518,0.00025364,4e-05,0.000702925,1,3.048,1.28887
8,hexa,8,0.036703,-0.051158,0.00156464,0.052959,-0.0396754,0.00537464,1,0.00116114,0.00287065,0.00047625,0.00306324,0.000465667,0.000461675,0.00319475,4e-05,0.000635,1,1,1,1,6.341,1,0.00040386,1.66667
9,hexa,9,0.0222253,-0.025019,0.00156464,0.0301498,-0.0156464,0.00336804,1,0.00132075,0.00133894,0.00036068,0.00513085,0.00116332,0.00413345,0.0008835,4e-05,0.000635,1.03469,2,1,1,6.341,1.08,0.00035306,1.51449
10,hexa,10,0.131572,-0.0156464,0.00156464,0.154686,-0.00225552,0.00278384,1,0.0046228,0.00223181,0.0003048,0.000499999,0.007353,0.000965075,0.00225552,4e-05,0.0005842,1,1,1,1,6.341,1.08696,0.00026416,1.66667
11,hexa,11,0.131572,-0.0332859,0.00156464,0.154686,-0.0195067,0.00278384,1,0.0046228,0.00275584,0.0003048,0.000499999,0.007353,0.00319475,0.000965075,4e-05,0.0005842,1,1,1,1,6.341,1.08696,0.00026416,1.66667
12,hexa,12,0.131572,-0.0585476,0.00156464,0.154686,-0.0447685,0.00278384,1,0.0046228,0.00114826,0.0003048,0.000499999,0.007353,0.00114825,0.0050931,4e-05,0.0005842,1,1,1,1,6.341,1.08696,0.00026416,1.66667
13,hexa,13,0.131572,-0.0763219,0.00156464,0.154686,-0.0631407,0.00278384,1,0.0046228,0.000823826,0.0003048,0.000499999,0.007353,0.000553361,0.0011483,4e-05,0.0005842,1,1,1,1,6.341,1.08696,0.00026416,1.66667
14,hexa,14,0.0738896,-0.096521,0.00156464,0.109419,-0.0677337,0.00400304,1,0.0039477,0.00115149,0.0004064,0.00297204,0.00206273,0.00220799,0.0005,4e-05,0.0006858,1,1.72993,1,1,6.341,1,0.00037846,1.62667
15,hexa,15,0.083947,-0.011938,0.00156464,0.101346,0,0.00664464,1,0.017399,0.011938,0.00508,0.0050287,0.00168467,0.0010579,0.00135077,4e-05,0.0007,1,1,1,1,6.341,1,0.0006096,1
16,hexa,16,0.0738896,-0.0570304,0.00156464,0.111482,-0.0195067,0.00400304,1,0.0037592,0.00208465,0.0004064,0.00297204,0.00356839,0.000604236,0.000965075,4e-05,0.0006858,1,2.4448,1.511,1,6.341,1,0.00037846,1.62667
17,hexa,17,0.0254203,-0.0488615,-0.0017526,0.0313131,-0.0396754,0,1,0.00117856,0.00459305,0.00043815,0.00207924,0.00232664,0.00106537,0.00319475,0.0002286,4.5e-05,1,1.31659,1.1556,1,1,2.94667,0.000325755,1.875
18,hexa,18,0.04072,-0.0235998,-0.0017526,0.048768,-0.0129959,0,1,0.002012,0.00117821,0.00043815,0.000295025,0.00167132,0.0014192,0.0010579,0.0002286,4.5e-05,1,1,2.91252,2.38614,1,2.94667,0.000325755,1.875
