kind,name,creation_order,shape_type,center,size,props
domain,cabinet.1,1,shape_hexa,"[6.095999804928, 1.828799941478, 4.571999853696]","[12.191999609856, 3.657599882957, 9.143999707392]",grid_priority=0.0
plate,raisedfloor,2,shape_quad,"[6.095999804928, 0.45719998537, 4.571999853696]","[12.191999609856, 0.0, 9.143999707392]",grid_priority=102.0
block,CRACunit,3,shape_hexa,"[0.304799990246, 1.371599956109, 3.047999902464]","[0.609599980493, 1.828799941478, 1.219199960986]",block_type=hollow grid_priority=2.0
block,CRACunit.1,3,shape_hexa,"[0.304799990246, 1.371599956109, 6.095999804928]","[0.609599980493, 1.828799941478, 1.219199960986]",block_type=hollow grid_priority=3.0
fan,CRAC_intake.1,4,shape_quad,"[0.304799990246, 0.45719998537, 6.095999804928]","[0.609599980493, 0.0, 1.219199960986]",grid_priority=113.0
fan,CRAC_intake,4,shape_quad,"[0.304799990246, 0.45719998537, 3.047999902464]","[0.609599980493, 0.0, 1.219199960986]",grid_priority=112.0
fan,CRAC_exhaust,5,shape_quad,"[0.304799990246, 2.285999926848, 3.047999902464]","[0.609599980493, 0.0, 1.219199960986]",grid_priority=114.0
fan,CRAC_exhaust.1,5,shape_quad,"[0.304799990246, 2.285999926848, 6.095999804928]","[0.609599980493, 0.0, 1.219199960986]",grid_priority=115.0
block,rack,6,shape_hexa,"[2.895599907341, 1.523999951232, 1.523999951232]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=4.0
block,rack.11,6,shape_hexa,"[5.029200039066, 1.523999901232, 7.619999803696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=5.0
opening,rack-opns.11,7,shape_quad,"[4.572000033372, 1.523999951232, 7.619999780661]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=117.0
opening,rack-opns,7,shape_quad,"[3.35279989271, 1.523999951232, 1.523999951232]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=116.0
block,rack.1,8,shape_hexa,"[2.895599907341, 1.523999951232, 2.133599931725]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=6.0
block,rack.1.1,8,shape_hexa,"[5.029199939066, 1.523999901232, 7.010399803696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=7.0
opening,rack-opns.1,9,shape_quad,"[3.35279989271, 1.523999951232, 2.133599931725]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=118.0
opening,rack-opns.1.1,9,shape_quad,"[4.572000000704, 1.523999951232, 7.010399800168]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=119.0
block,rack.2.1,10,shape_hexa,"[5.029199939066, 1.523999901232, 6.400799803696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=9.0
block,rack.2,10,shape_hexa,"[2.895599907341, 1.523999951232, 2.743199912218]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=8.0
opening,rack-opns.2,11,shape_quad,"[3.35279989271, 1.523999951232, 2.743199912218]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=120.0
opening,rack-opns.2.1,11,shape_quad,"[4.571999968035, 1.523999951232, 6.400799819676]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=121.0
block,rack.3,12,shape_hexa,"[2.895599907341, 1.523999951232, 3.35279989271]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=10.0
block,rack.3.1,12,shape_hexa,"[5.029199939066, 1.523999901232, 5.791199803696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=11.0
opening,rack-opns.3.1,13,shape_quad,"[4.571999935367, 1.523999951232, 5.791199839183]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=123.0
opening,rack-opns.3,13,shape_quad,"[3.35279989271, 1.523999951232, 3.35279989271]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=122.0
block,rack.4,14,shape_hexa,"[2.895599907341, 1.523999951232, 3.962399873203]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=12.0
block,rack.4.1,14,shape_hexa,"[5.029199839066, 1.523999901232, 5.181599803696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=13.0
opening,rack-opns.4.1,15,shape_quad,"[4.571999902699, 1.523999951232, 5.18159985869]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=125.0
opening,rack-opns.4,15,shape_quad,"[3.35279989271, 1.523999951232, 3.962399873203]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=124.0
block,rack.5,16,shape_hexa,"[2.895599907341, 1.523999951232, 4.571999853696]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=14.0
block,rack.5.1,16,shape_hexa,"[5.029199839066, 1.523999901232, 4.571999903696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=15.0
opening,rack-opns.5,17,shape_quad,"[3.35279989271, 1.523999951232, 4.571999853696]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=126.0
opening,rack-opns.5.1,17,shape_quad,"[4.57199987003, 1.523999951232, 4.571999878197]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=127.0
block,rack.6.1,18,shape_hexa,"[5.029199839066, 1.523999901232, 3.962399903696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=17.0
block,rack.6,18,shape_hexa,"[2.895599907341, 1.523999951232, 5.181599834189]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=16.0
opening,rack-opns.6.1,19,shape_quad,"[4.571999837362, 1.523999951232, 3.962399897704]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=129.0
opening,rack-opns.6,19,shape_quad,"[3.35279989271, 1.523999951232, 5.181599834189]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=128.0
block,rack.7,20,shape_hexa,"[2.895599907341, 1.523999951232, 5.791199814682]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=18.0
block,rack.7.1,20,shape_hexa,"[5.029199739066, 1.523999901232, 3.352799903696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=19.0
opening,rack-opns.7,21,shape_quad,"[3.35279989271, 1.523999951232, 5.791199814682]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=130.0
opening,rack-opns.7.1,21,shape_quad,"[4.571999804693, 1.523999951232, 3.352799917212]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=131.0
block,rack.8.1,22,shape_hexa,"[5.029199739066, 1.523999901232, 2.743199903696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=21.0
block,rack.8,22,shape_hexa,"[2.895599907341, 1.523999951232, 6.400799795174]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=20.0
opening,rack-opns.8.1,23,shape_quad,"[4.571999772025, 1.523999951232, 2.743199936719]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=133.0
opening,rack-opns.8,23,shape_quad,"[3.35279989271, 1.523999951232, 6.400799795174]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=132.0
block,rack.9.1,24,shape_hexa,"[5.029199739066, 1.523999901232, 2.133599903696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=23.0
block,rack.9,24,shape_hexa,"[2.895599907341, 1.523999951232, 7.010399775667]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=22.0
opening,rack-opns.9.1,25,shape_quad,"[4.571999739357, 1.523999951232, 2.133599956226]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=135.0
opening,rack-opns.9,25,shape_quad,"[3.35279989271, 1.523999951232, 7.010399775667]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=134.0
block,rack.10,26,shape_hexa,"[2.895599907341, 1.523999951232, 7.61999975616]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=24.0
block,rack.10.1,26,shape_hexa,"[5.029199639066, 1.523999901232, 1.524000003696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=25.0
opening,rack-opns.10,27,shape_quad,"[3.35279989271, 1.523999951232, 7.61999975616]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=136.0
opening,rack-opns.10.1,27,shape_quad,"[4.571999706688, 1.523999951232, 1.523999975733]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=137.0
block,hdrack.11,28,shape_hexa,"[9.296399902515, 1.523999901232, 7.619999803696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=27.0
block,hdrack,28,shape_hexa,"[7.16279977079, 1.523999951232, 1.523999951232]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=26.0
opening,hdrack-opns.11,29,shape_quad,"[8.839199896821, 1.523999951232, 7.619999780661]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=139.0
opening,hdrack-opns,29,shape_quad,"[7.61999975616, 1.523999951232, 1.523999951232]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=138.0
block,hdrack.1.1,30,shape_hexa,"[9.296399802515, 1.523999901232, 7.010399803696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=29.0
block,hdrack.1,30,shape_hexa,"[7.16279977079, 1.523999951232, 2.133599931725]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=28.0
opening,hdrack-opns.1.1,31,shape_quad,"[8.839199864153, 1.523999951232, 7.010399800168]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=141.0
opening,hdrack-opns.1,31,shape_quad,"[7.61999975616, 1.523999951232, 2.133599931725]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=140.0
block,hdrack.2,32,shape_hexa,"[7.16279977079, 1.523999951232, 2.743199912218]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=30.0
block,hdrack.2.1,32,shape_hexa,"[9.296399802515, 1.523999901232, 6.400799803696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=31.0
opening,hdrack-opns.2.1,33,shape_quad,"[8.839199831485, 1.523999951232, 6.400799819676]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=143.0
opening,hdrack-opns.2,33,shape_quad,"[7.61999975616, 1.523999951232, 2.743199912218]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=142.0
block,hdrack.3.1,34,shape_hexa,"[9.296399802515, 1.523999901232, 5.791199803696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=33.0
block,hdrack.3,34,shape_hexa,"[7.16279977079, 1.523999951232, 3.35279989271]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=32.0
opening,hdrack-opns.3,35,shape_quad,"[7.61999975616, 1.523999951232, 3.35279989271]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=144.0
opening,hdrack-opns.3.1,35,shape_quad,"[8.839199798816, 1.523999951232, 5.791199839183]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=145.0
block,hdrack.4,36,shape_hexa,"[7.16279977079, 1.523999951232, 3.962399873203]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=34.0
block,hdrack.4.1,36,shape_hexa,"[9.296399702515, 1.523999901232, 5.181599803696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=35.0
opening,hdrack-opns.4,37,shape_quad,"[7.61999975616, 1.523999951232, 3.962399873203]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=146.0
opening,hdrack-opns.4.1,37,shape_quad,"[8.839199766148, 1.523999951232, 5.18159985869]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=147.0
block,hdrack.5,38,shape_hexa,"[7.16279977079, 1.523999951232, 4.571999853696]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=36.0
block,hdrack.5.1,38,shape_hexa,"[9.296399702515, 1.523999901232, 4.571999903696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=37.0
opening,hdrack-opns.5.1,39,shape_quad,"[8.83919973348, 1.523999951232, 4.571999878197]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=149.0
opening,hdrack-opns.5,39,shape_quad,"[7.61999975616, 1.523999951232, 4.571999853696]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=148.0
block,hdrack.6.1,40,shape_hexa,"[9.296399702515, 1.523999901232, 3.962399903696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=39.0
block,hdrack.6,40,shape_hexa,"[7.16279977079, 1.523999951232, 5.181599834189]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=38.0
opening,hdrack-opns.6.1,41,shape_quad,"[8.839199700811, 1.523999951232, 3.962399897704]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=151.0
opening,hdrack-opns.6,41,shape_quad,"[7.61999975616, 1.523999951232, 5.181599834189]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=150.0
block,hdrack.7,42,shape_hexa,"[7.16279977079, 1.523999951232, 5.791199814682]","[0.914399970739, 2.133599931725, 0.609599980493]",block_type=hollow grid_priority=40.0
block,hdrack.7.1,42,shape_hexa,"[9.296399602515, 1.523999901232, 3.352799903696]","[0.9144, 2.1335999, 0.6095999]",block_type=hollow grid_priority=41.0
opening,hdrack-opns.7,43,shape_quad,"[7.61999975616, 1.523999951232, 5.791199814682]","[0.0, 2.133599931725, 0.609599980493]",grid_priority=152.0
