kind,name,creation_order,shape_type,center,size,props
domain,cabinet.1,1,shape_hexa,"[0.0375, 0.125, 0.178]","[0.075, 0.25, 0.356]",grid_priority=0.0
block,block.1,2,shape_hexa,"[0.003, 0.125, 0.178]","[0.006, 0.25, 0.356]",block_type=solid grid_priority=2.0
opening,opening.1,3,shape_quad,"[0.0405, 0.125, 0.356]","[0.069, 0.25, 0.0]",grid_priority=18.0
fan,fan.1.1,4,shape_circ,"[0.04, 0.125, 0.0]",,grid_priority=20.0
fan,fan.1.2,4,shape_circ,"[0.04, 0.2025, 0.0]",,grid_priority=21.0
fan,fan.1,4,shape_circ,"[0.04, 0.0475, 0.0]",,grid_priority=19.0
source,source.1.1,5,shape_quad,"[0.0, 0.08, 0.1905]","[0.0, 0.007, 0.02]",temp=1.0 grid_priority=14.0
source,source.1.2,5,shape_quad,"[0.0, 0.125, 0.1905]","[0.0, 0.007, 0.02]",temp=1.0 grid_priority=15.0
source,source.1.3,5,shape_quad,"[0.0, 0.17, 0.1905]","[0.0, 0.007, 0.02]",temp=1.0 grid_priority=16.0
source,source.1,5,shape_quad,"[0.0, 0.035, 0.1905]","[0.0, 0.007, 0.02]",temp=1.0 grid_priority=13.0
source,source.1.4,5,shape_quad,"[0.0, 0.215, 0.1905]","[0.0, 0.007, 0.02]",temp=1.0 grid_priority=17.0
plate,plate.1.7,6,shape_quad,"[0.0405, 0.1875, 0.1905]","[0.069, 0.0, 0.281]",plate_type=conduct_thick grid_priority=10.0
plate,plate.1.6,6,shape_quad,"[0.0405, 0.1625, 0.1905]","[0.069, 0.0, 0.281]",plate_type=conduct_thick grid_priority=9.0
plate,plate.1.5,6,shape_quad,"[0.0405, 0.1375, 0.1905]","[0.069, 0.0, 0.281]",plate_type=conduct_thick grid_priority=8.0
plate,plate.1.4,6,shape_quad,"[0.0405, 0.1125, 0.1905]","[0.069, 0.0, 0.281]",plate_type=conduct_thick grid_priority=7.0
plate,plate.1.3,6,shape_quad,"[0.0405, 0.0875, 0.1905]","[0.069, 0.0, 0.281]",plate_type=conduct_thick grid_priority=6.0
plate,plate.1.8,6,shape_quad,"[0.0405, 0.2125, 0.1905]","[0.069, 0.0, 0.281]",plate_type=conduct_thick grid_priority=11.0
plate,plate.1,6,shape_quad,"[0.0405, 0.0125, 0.1905]","[0.069, 0.0, 0.281]",plate_type=conduct_thick grid_priority=3.0
plate,plate.1.2,6,shape_quad,"[0.0405, 0.0625, 0.1905]","[0.069, 0.0, 0.281]",plate_type=conduct_thick grid_priority=5.0
plate,plate.1.1,6,shape_quad,"[0.0405, 0.0375, 0.1905]","[0.069, 0.0, 0.281]",plate_type=conduct_thick grid_priority=4.0
plate,plate.1.9,6,shape_quad,"[0.0405, 0.2375, 0.1905]","[0.069, 0.0, 0.281]",plate_type=conduct_thick grid_priority=12.0
