kind,name,creation_order,shape_type,center,size,props
domain,cabinet.1,1,shape_hexa,"[0.042862498628, 0.008572499726, 0.001473199953]","[0.146684995306, 0.071754997704, 0.008026399743]",
material,{BOARD_OUTLINE.1 solid_material},,,,,
material,{C13-8123Z|Pitch.2.46 solid_material},,,,,
material,{C12-8123Z|Pitch.2.45 solid_material},,,,,
material,{C15-8123Z|Pitch.2.48 solid_material},,,,,
material,{C11-8123Z|Pitch.2.44 solid_material},,,,,
material,{C14-8123Z|Pitch.2.47 solid_material},,,,,
block,BOARD_OUTLINE.1,1,shape_hexa,"[0.042862498628, 0.008572499726, 0.000203199993]","[0.146684995306, 0.071754997704, 0.000406399987]",block_type=solid
block,BOARD_OUTLINE.2,1,shape_hexa,"[0.042862498628, 0.008572499726, 0.000203199993]","[0.146684995306, 0.071754997704, 0.000406399987]",block_type=solid
block,C1-C1206|Vapor_phase,2,shape_hexa,"[-0.021907499299, 0.033019998943, -0.000253999992]","[0.005206999833, 0.003047999902, 0.000507999984]",block_type=network
block,C2-C1206|Vapor_phase,3,shape_hexa,"[-0.021907499299, 0.027939999106, -0.000253999992]","[0.005206999833, 0.003047999902, 0.000507999984]",block_type=network
block,C3-C1206|Vapor_phase,4,shape_hexa,"[-0.021907499299, 0.022859999268, -0.000253999992]","[0.005206999833, 0.003047999902, 0.000507999984]",block_type=network
block,C8-C1206|Vapor_phase,5,shape_hexa,"[-0.021907499299, 0.017779999431, -0.000253999992]","[0.005206999833, 0.003047999902, 0.000507999984]",block_type=network
block,C22-C1206|Vapor_phase,6,shape_hexa,"[0.035559998752, 0.031432498994, -0.000253999992]","[0.003048000265, 0.005207000046, 0.000507999984]",block_type=network
block,C23-C1206|Vapor_phase,7,shape_hexa,"[0.035559998752, 0.011112499644, -0.000253999992]","[0.003048000265, 0.005207000046, 0.000507999984]",block_type=network
block,C24-C1206|Vapor_phase,8,shape_hexa,"[0.035559998752, -0.009207499705, -0.000253999992]","[0.003048000265, 0.005207000046, 0.000507999984]",block_type=network
block,C25-C1206|Vapor_phase,9,shape_hexa,"[0.066039997776, -0.009207499705, -0.000253999992]","[0.003048000265, 0.005207000046, 0.000507999984]",block_type=network
block,C26-C1206|Vapor_phase,10,shape_hexa,"[0.066039997776, 0.011112499644, -0.000253999992]","[0.003048000265, 0.005207000046, 0.000507999984]",block_type=network
block,C27-C1206|Vapor_phase,11,shape_hexa,"[0.066039997776, 0.031432498994, -0.000253999992]","[0.003048000265, 0.005207000046, 0.000507999984]",block_type=network
block,C28-C1206|Vapor_phase,12,shape_hexa,"[0.050799998485, 0.031432498994, 0.000660399979]","[0.003048000265, 0.005207000046, 0.000507999984]",block_type=network
block,C29-C1206|Vapor_phase,13,shape_hexa,"[0.050799998485, 0.011112499644, 0.000660399979]","[0.003048000265, 0.005207000046, 0.000507999984]",block_type=network
block,C30-C1206|Vapor_phase,14,shape_hexa,"[0.050799998485, -0.009207499705, 0.000660399979]","[0.003048000265, 0.005207000046, 0.000507999984]",block_type=network
block,C4-8113Z|Pitch.1,15,shape_hexa,"[-0.016509999472, -0.012699999653, 0.001625599948]","[0.003809999996, 0.002540000096, 0.002438399922]",block_type=network
block,C5-8113Z|Pitch.1,16,shape_hexa,"[-0.016509999472, -0.008889999774, 0.001625599948]","[0.003809999996, 0.002540000096, 0.002438399922]",block_type=network
block,C6-8113Z|Pitch.1,17,shape_hexa,"[-0.016509999472, -0.005079999896, 0.001625599948]","[0.003809999996, 0.002540000096, 0.002438399922]",block_type=network
block,C7-8113Z|Pitch.1,18,shape_hexa,"[-0.016509999472, -0.001270000018, 0.001625599948]","[0.003809999996, 0.002540000096, 0.002438399922]",block_type=network
block,R10-TR4|Pitch.5,19,shape_hexa,"[0.063499997968, 0.020319999792, 0.001676399946]","[0.015239999689, 0.00254000098, 0.002539999919]",block_type=solid
block,R13-TR4|Pitch.5,20,shape_hexa,"[0.062229998009, -0.019049998948, 0.001676399946]","[0.015239999689, 0.00254000098, 0.002539999919]",block_type=solid
block,R90-TR4|Pitch.5,21,shape_hexa,"[0.03936999874, 0.040639998552, 0.001676399946]","[0.015239999571, 0.002540000272, 0.002539999919]",block_type=solid
block,U1-DIP14|Dip,22,shape_hexa,"[0.021630959875, 0.020363519722, 0.002946399906]","[0.010160001089, 0.020320000057, 0.005079999837]",block_type=solid
