kind,name,creation_order,shape_type,center,size,props
domain,cabinet.1,1,shape_hexa,"[0.06, 0.25, 0.099]","[0.36, 1.0, 0.202]",grid_priority=0.0
material,pcb,-1,,,,
opening,cabinet_default_side_miny,2,shape_quad,"[0.06, -0.25, 0.099]","[0.36, 0.0, 0.202]",grid_priority=18.0
opening,cabinet_default_side_maxy,3,shape_quad,"[0.06, 0.75, 0.099]","[0.36, 0.0, 0.202]",grid_priority=19.0
wall,cabinet_default_side_minx,4,shape_quad,"[-0.12, 0.25, 0.099]","[0.0, 1.0, 0.202]",grid_priority=13.0
wall,cabinet_default_side_maxx,5,shape_quad,"[0.24, 0.25, 0.099]","[0.0, 1.0, 0.202]",grid_priority=14.0
wall,cabinet_default_side_minz,6,shape_quad,"[0.06, 0.25, -0.002]","[0.36, 1.0, 0.0]",grid_priority=15.0
wall,cabinet_default_side_maxz,7,shape_quad,"[0.06, 0.25, 0.2]","[0.36, 1.0, 0.0]",grid_priority=16.0
block,PCB,9,shape_hexa,"[0.06, 0.25, -0.001]","[0.36, 1.0, 0.002]",block_type=solid grid_priority=2.0
part,assembly.1,13,shape_container,,,
block,hs-base,10,shape_hexa,"[0.0615, 0.08, 0.005]","[0.123, 0.16, 0.01]",block_type=solid grid_priority=3.0
block,hs-fin1.1.1,11,shape_hexa,"[0.0165, 0.08, 0.04]","[0.003, 0.16, 0.06]",block_type=solid grid_priority=4.0
block,hs-fin1.1.5,11,shape_hexa,"[0.0765, 0.08, 0.04]","[0.003, 0.16, 0.06]",block_type=solid grid_priority=5.0
block,hs-fin1.1.6,11,shape_hexa,"[0.0915, 0.08, 0.04]","[0.003, 0.16, 0.06]",block_type=solid grid_priority=6.0
block,hs-fin1.1.2,11,shape_hexa,"[0.0315, 0.08, 0.04]","[0.003, 0.16, 0.06]",block_type=solid grid_priority=7.0
block,hs-fin1.1,11,shape_hexa,"[0.0015, 0.08, 0.04]","[0.003, 0.16, 0.06]",block_type=solid grid_priority=8.0
block,hs-fin1.1.7,11,shape_hexa,"[0.1065, 0.08, 0.04]","[0.003, 0.16, 0.06]",block_type=solid grid_priority=9.0
block,hs-fin1.1.3,11,shape_hexa,"[0.0465, 0.08, 0.04]","[0.003, 0.16, 0.06]",block_type=solid grid_priority=10.0
block,hs-fin1.1.4,11,shape_hexa,"[0.0615, 0.08, 0.04]","[0.003, 0.16, 0.06]",block_type=solid grid_priority=11.0
block,hs-fin1.1.8,11,shape_hexa,"[0.1215, 0.08, 0.04]","[0.003, 0.16, 0.06]",block_type=solid grid_priority=12.0
source,source.1,12,shape_quad,"[0.0615, 0.08, 0.0]","[0.083, 0.12, 0.0]",temp=1.0 grid_priority=17.0
