kind,name,creation_order,shape_type,center,size,props
domain,cabinet.1,1,shape_hexa,"[0.325, 0.25, 0.1]","[0.65, 0.5, 0.2]",grid_priority=0.0
material,material.3,-1,,,,
material,material.2,-1,,,,
material,material.1,-1,,,,
block,block.1,2,shape_hexa,"[0.125, 0.11, 0.1]","[0.15, 0.12, 0.1]",block_type=solid grid_priority=2.0
block,block.5,3,shape_hexa,"[0.506, 0.135, 0.1]","[0.172, 0.17, 0.1]",block_type=hollow grid_priority=3.0
block,block.6,4,shape_hexa,"[0.135, 0.335, 0.1]","[0.17, 0.17, 0.1]",block_type=hollow grid_priority=4.0
block,pipe1,7,shape_cyl,"[0.04999999999999999, 0.11, 0.1]",,block_type=solid grid_priority=5.0
block,pipe2,8,shape_cyl,"[0.325, 0.365, 0.1]",,block_type=solid grid_priority=6.0
block,pipe3,9,shape_cyl,"[0.31, 0.125, 0.1]",,block_type=solid grid_priority=7.0
block,Joint1,10,shape_hexa,"[0.31, 0.11, 0.1]","[0.03, 0.03, 0.03]",block_type=solid grid_priority=8.0
block,Joint2,11,shape_hexa,"[0.31, 0.365, 0.1]","[0.03, 0.03, 0.03]",block_type=solid grid_priority=9.0
part,HS-vent-fan-asy,17,shape_container,,,
part,Heatsink-asy,14,shape_container,,,
block,Base,12,shape_hexa,"[0.506, 0.365, 0.1]","[0.172, 0.03, 0.1]",block_type=solid grid_priority=10.0
block,Pin.2.4.1,13,shape_cyl,"[0.5720000000000001, 0.35, 0.133]",,block_type=solid grid_priority=12.0
block,Pin.1.4,13,shape_cyl,"[0.5720000000000001, 0.38, 0.1]",,block_type=solid grid_priority=13.0
block,Pin.2.3,13,shape_cyl,"[0.539, 0.38, 0.133]",,block_type=solid grid_priority=14.0
block,Pin.3,13,shape_cyl,"[0.473, 0.38, 0.067]",,block_type=solid grid_priority=15.0
block,Pin.5.1,13,shape_cyl,"[0.539, 0.35, 0.067]",,block_type=solid grid_priority=16.0
block,Pin.1.5,13,shape_cyl,"[0.44, 0.35, 0.1]",,block_type=solid grid_priority=17.0
block,Pin.2.4,13,shape_cyl,"[0.5720000000000001, 0.38, 0.133]",,block_type=solid grid_priority=18.0
block,Pin.4,13,shape_cyl,"[0.506, 0.38, 0.067]",,block_type=solid grid_priority=19.0
block,Pin.6.1,13,shape_cyl,"[0.5720000000000001, 0.35, 0.067]",,block_type=solid grid_priority=20.0
block,Pin.2.5,13,shape_cyl,"[0.44, 0.35, 0.133]",,block_type=solid grid_priority=21.0
block,Pin.5,13,shape_cyl,"[0.539, 0.38, 0.067]",,block_type=solid grid_priority=22.0
block,Pin.6,13,shape_cyl,"[0.5720000000000001, 0.38, 0.067]",,block_type=solid grid_priority=23.0
block,Pin.4.1,13,shape_cyl,"[0.506, 0.35, 0.067]",,block_type=solid grid_priority=11.0
block,Pin.7,13,shape_cyl,"[0.44, 0.35, 0.067]",,block_type=solid grid_priority=24.0
block,Pin.1.1.1,13,shape_cyl,"[0.473, 0.35, 0.1]",,block_type=solid grid_priority=25.0
block,Pin.1.1,13,shape_cyl,"[0.473, 0.38, 0.1]",,block_type=solid grid_priority=26.0
block,Pin.2.1.1,13,shape_cyl,"[0.473, 0.35, 0.133]",,block_type=solid grid_priority=27.0
block,Pin.1.2.1,13,shape_cyl,"[0.506, 0.35, 0.1]",,block_type=solid grid_priority=28.0
block,Pin.1.2,13,shape_cyl,"[0.506, 0.38, 0.1]",,block_type=solid grid_priority=29.0
block,Pin.2.1,13,shape_cyl,"[0.473, 0.38, 0.133]",,block_type=solid grid_priority=30.0
block,Pin.1,13,shape_cyl,"[0.44, 0.38, 0.1]",,block_type=solid grid_priority=31.0
block,Pin.2.2.1,13,shape_cyl,"[0.506, 0.35, 0.133]",,block_type=solid grid_priority=32.0
block,Pin.1.3.1,13,shape_cyl,"[0.539, 0.35, 0.1]",,block_type=solid grid_priority=33.0
block,Pin.2.2,13,shape_cyl,"[0.506, 0.38, 0.133]",,block_type=solid grid_priority=34.0
block,Pin.2,13,shape_cyl,"[0.44, 0.38, 0.133]",,block_type=solid grid_priority=35.0
block,Pin,13,shape_cyl,"[0.44, 0.38, 0.067]",,block_type=solid grid_priority=36.0
block,Pin.1.4.1,13,shape_cyl,"[0.5720000000000001, 0.35, 0.1]",,block_type=solid grid_priority=37.0
block,Pin.1.3,13,shape_cyl,"[0.539, 0.38, 0.1]",,block_type=solid grid_priority=38.0
block,Pin.3.1,13,shape_cyl,"[0.473, 0.35, 0.067]",,block_type=solid grid_priority=39.0
block,Pin.2.3.1,13,shape_cyl,"[0.539, 0.35, 0.133]",,block_type=solid grid_priority=40.0
part,Vent-asy,15,shape_container,,,
ventres,vent.1,6,shape_quad,"[0.506, 0.365, 0.2]","[0.172, 0.11, 0.0]",grid_priority=45.0
part,Fan-asy,16,shape_container,,,
fan,fan.1,5,shape_circ,"[0.506, 0.365, 0.0]",,grid_priority=43.0
