kind,name,creation_order,shape_type,center,size,props
domain,cabinet.1,1,shape_hexa,"[0.1524, 0.03175, 0.1016]","[0.3048, 0.0635, 0.254]",grid_priority=0.0
material,tim_mat,-1,,,,
material,brd_mat,-1,,,,
part,hs_assembly_2,2,shape_container,,,
block,block.1.1,13,shape_hexa,"[0.111125, 0.00333375, 0.04127500061]","[0.03175, 0.0034925, 0.03175]",block_type=solid grid_priority=6.0
block,block.1.1.1,14,shape_hexa,"[0.111125, 0.00333375, 0.07937499939]","[0.03175, 0.0034925, 0.03175]",block_type=solid grid_priority=7.0
block,block.1.1.2,15,shape_hexa,"[0.111125, 0.00333375, 0.117474998171]","[0.03175, 0.0034925, 0.03175]",block_type=solid grid_priority=8.0
block,block.1.1.3,16,shape_hexa,"[0.111125, 0.00333375, 0.155574996952]","[0.03175, 0.0034925, 0.03175]",block_type=solid grid_priority=9.0
block,block.1.2,17,shape_hexa,"[0.073025001219, 0.00333375, 0.04127500061]","[0.03175, 0.0034925, 0.03175]",block_type=solid grid_priority=10.0
block,block.1.2.1,18,shape_hexa,"[0.073025001219, 0.00333375, 0.07937499939]","[0.03175, 0.0034925, 0.03175]",block_type=solid grid_priority=11.0
block,block.1.2.2,19,shape_hexa,"[0.073025001219, 0.00333375, 0.117474998171]","[0.03175, 0.0034925, 0.03175]",block_type=solid grid_priority=12.0
block,block.1.2.3,20,shape_hexa,"[0.073025001219, 0.00333375, 0.155574996952]","[0.03175, 0.0034925, 0.03175]",block_type=solid grid_priority=13.0
heatsink,heatsink_big,22,shape_hexa,"[0.051080424272, 0.025654, 0.098424994]","[0.000560848544, 0.03556, 0.15874999]",grid_priority=14.0
block,TIM_2.1,27,shape_hexa,"[0.073025001219, 0.005207, 0.098424998781]","[0.03175, 0.000254, 0.146049996342]",block_type=solid grid_priority=17.0
block,TIM_2.1.1,28,shape_hexa,"[0.111125, 0.005207, 0.098424998781]","[0.03175, 0.000254, 0.146049996342]",block_type=solid grid_priority=18.0
part,hs_assembly_1,3,shape_container,,,
block,power_cap_1,7,shape_cyl,"[0.28575, 0.0015875, 0.0762]",,block_type=hollow grid_priority=3.0
block,block.1,8,shape_hexa,"[0.2286, 0.0078105, 0.0889]","[0.0762, 0.012446, 0.0381]",block_type=solid grid_priority=5.0
block,power_cap_2,8,shape_cyl,"[0.28575, 0.0015875, 0.1015999991872]",,block_type=hollow grid_priority=4.0
heatsink,heatsink_small,30,shape_hexa,"[0.184657994107, 0.0346075, 0.088899997155]","[0.001016, 0.03556, 0.050799998374]",grid_priority=21.0
block,TIM_1,31,shape_hexa,"[0.2286, 0.0141605, 0.0889]","[0.0762, 0.000254, 0.0381]",block_type=solid grid_priority=22.0
block,FR-4.1,4,shape_hexa,"[0.1524, 0.00079375, 0.1016]","[0.3048, 0.0015875, 0.2032]",block_type=solid grid_priority=2.0
opening,cabinet_default_side_maxz,6,shape_quad,"[0.1524, 0.03175, 0.2286]","[0.3048, 0.0635, 0.0]",grid_priority=25.0
opening,cabinet_default_side_minz,7,shape_quad,"[0.1524, 0.03175, -0.0254]","[0.3048, 0.0635, 0.0]",grid_priority=26.0
block,block.1.3,26,shape_hexa,"[0.2286, 0.00714375, 0.174625]","[0.0889, 0.0111125, 0.04445]",block_type=hollow grid_priority=15.0
block,block.1.3.1,27,shape_hexa,"[0.241299999594, 0.00555625, 0.03175]","[0.0889, 0.0079375, 0.0381]",block_type=hollow grid_priority=16.0
block,power_cap_1.1,28,shape_cyl,"[0.15747999983744, 0.0015875, 0.08127999983744]",,block_type=hollow grid_priority=19.0
block,power_cap_1.1.1,30,shape_cyl,"[0.15747999983744, 0.0015875, 0.114807998764544]",,block_type=hollow grid_priority=20.0
block,power_cap_1.1.2,31,shape_cyl,"[0.15747999983744, 0.0015875, 0.148335997691648]",,block_type=hollow grid_priority=23.0
block,connector,32,shape_hexa,"[0.0127, 0.0155575, 0.1016]","[0.0254, 0.02794, 0.2032]",block_type=hollow grid_priority=24.0
ventres,grille_inlet,32,shape_quad,"[0.1524, 0.03175, 0.0]","[0.3048, 0.0635, 0.0]",grid_priority=27.0
ventres,grille_exit,33,shape_quad,"[0.1524, 0.03175, 0.2032]","[0.3048, 0.0635, 0.0]",grid_priority=28.0
