row,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46
0,domain,0,-0.0795,0,0,0.0805,0.007363,0.0127,0.000437931,0.000230094,1e+37,0.0083875,1,0.000168833,1,0.000423333,1.21575,0.0083875,1,0.000168833,1,0.000423333,1.21563
1,hexa,1,0,0,0,0.001,0.007363,0.0127,1,0.0002,0.000230094,0.000437931,0.0004,0.0004,0,0,0,0,2,2,1,1,1,1,0.0002,1
2,poly,2,yz,4,0,0.0041895,0,0.001,0.0041895,0,0,0.0041895,0.001876,0.001,0.0041895,0.001876,0,0.007363,0.003709,0.001,0.007363,0.003709,0,0.007363,0,0.001,0.007363,0,0.001,1,0.000469,0.00028191,0.000463625,0.000244115,0.0002,0.000469,0.000231575,0.000449312,0.000231575,0.0004,0.0004,1,1,1,1,2,2
3,poly,3,yz,4,0,0,0.003709,0.001,0,0.003709,0,0.0031735,0.001876,0.001,0.0031735,0.001876,0,0.0031735,0,0.001,0.0031735,0,0,0,0,0.001,0,0,0.001,1,0.00028191,0.000469,0.000244115,0.000463625,0.0002,0.000231549,0.000469,0.000231549,0.000449312,0.0004,0.0004,1,1,1,1,2,2
4,poly,4,yz,4,0,0,0.0089911,0.001,0,0.0089911,0,0.0031735,0.0108241,0.001,0.0031735,0.0108241,0,0.0031735,0.0127,0.001,0.0031735,0.0127,0,0,0.0127,0.001,0,0.0127,0.001,1,0.00028191,0.000468975,0.000244115,0.0004121,0.0002,0.000231549,0.000468975,0.000231549,0.0004121,0.0004,0.0004,1,1,1,1,2,2
5,poly,5,yz,4,0,0.0041895,0.0127,0.001,0.0041895,0.0127,0,0.0041895,0.0108241,0.001,0.0041895,0.0108241,0,0.007363,0.0089911,0.001,0.007363,0.0089911,0,0.007363,0.0127,0.001,0.007363,0.0127,0.001,1,0.000468975,0.00028191,0.0004121,0.000244115,0.0002,0.000468975,0.000231575,0.0004121,0.000231575,0.0004,0.0004,1,1,1,1,2,2
6,poly,6,yz,4,0,0.0036812,0.002678,0.001,0.0036812,0.002678,0,0.0005065,0.004511,0.001,0.0005065,0.004511,0,0.0005065,0.0063501,0.001,0.0005065,0.0063501,0,0.0036812,0.0063501,0.001,0.0036812,0.0063501,0.001,1,0.00028199,0.000459775,0.000244208,0.000459013,0.0002,0.000244208,0.000459775,0.000244208,0.000459013,0.0004,0.0004,1,1,1,1,2,2
7,poly,7,yz,4,0,0.0036812,0.002678,0.001,0.0036812,0.002678,0,0.0068565,0.004511,0.001,0.0068565,0.004511,0,0.0068565,0.0063501,0.001,0.0068565,0.0063501,0,0.0036812,0.0063501,0.001,0.0036812,0.0063501,0.001,1,0.00028203,0.000459775,0.000244254,0.000459013,0.0002,0.000244254,0.000459775,0.000244254,0.000459013,0.0004,0.0004,1,1,1,1,2,2
8,poly,8,yz,4,0,0.0036812,0.0100222,0.001,0.0036812,0.0100222,0,0.0068565,0.0081892,0.001,0.0068565,0.0081892,0,0.0068565,0.0063501,0.001,0.0068565,0.0063501,0,0.0036812,0.0063501,0.001,0.0036812,0.0063501,0.001,1,0.00028203,0.000459775,0.000244254,0.000408011,0.0002,0.000244254,0.000459775,0.000244254,0.000408011,0.0004,0.0004,1,1,1,1,2,2
9,poly,9,yz,4,0,0.0036812,0.0100222,0.001,0.0036812,0.0100222,0,0.0005065,0.0081892,0.001,0.0005065,0.0081892,0,0.0005065,0.0063501,0.001,0.0005065,0.0063501,0,0.0036812,0.0063501,0.001,0.0036812,0.0063501,0.001,1,0.00028199,0.000459775,0.000244208,0.000408011,0.0002,0.000244208,0.000459775,0.000244208,0.000408011,0.0004,0.0004,1,1,1,1,2,2
