kind,name,creation_order,shape_type,center,size,props
domain,cabinet.1,1,shape_hexa,"[0.129, 0.0935, 0.1705]","[0.258, 0.187, 0.341]",grid_priority=0.0
material,Air_0m,-1,,,,
material,Air_10000m,-1,,,,
block,hollow-inner,2,shape_hexa,"[0.129, 0.0935, 0.1725]","[0.23, 0.183, 0.307]",block_type=hollow grid_priority=8.0
wall,wall-maxz,3,shape_quad,"[0.129, 0.0935, 0.339]","[0.258, 0.187, 0.0]",grid_priority=2.0
wall,wall-minx,4,shape_quad,"[0.0, 0.0935, 0.1705]","[0.0, 0.187, 0.341]",grid_priority=3.0
wall,wall-maxx,5,shape_quad,"[0.256, 0.0935, 0.1705]","[0.0, 0.187, 0.341]",grid_priority=4.0
wall,wall-miny,6,shape_quad,"[0.129, 0.0, 0.1705]","[0.258, 0.0, 0.341]",grid_priority=5.0
wall,wall-maxy,7,shape_quad,"[0.129, 0.185, 0.1705]","[0.258, 0.0, 0.341]",grid_priority=6.0
wall,wall-maxz.1,9,shape_quad,"[0.129, 0.0935, 0.0]","[0.258, 0.187, 0.0]",grid_priority=7.0
plate,inner-z,11,shape_quad,"[0.129, 0.0935, 0.017]","[0.23, 0.183, 0.0]",plate_type=conduct_thick grid_priority=41.0
plate,inner-z.1,13,shape_quad,"[0.129, 0.0935, 0.326]","[0.23, 0.183, 0.0]",plate_type=conduct_thick grid_priority=42.0
plate,inner-x,14,shape_quad,"[0.012, 0.0935, 0.178]","[0.0, 0.183, 0.322]",plate_type=conduct_thick grid_priority=43.0
plate,inner-x.1,15,shape_quad,"[0.244, 0.0935, 0.178]","[0.0, 0.183, 0.322]",plate_type=conduct_thick grid_priority=44.0
opening,outlet,16,shape_quad,"[0.007, 0.0935, 0.341]","[0.01, 0.183, 0.0]",grid_priority=76.0
opening,outlet.1,17,shape_quad,"[0.251, 0.0935, 0.341]","[0.01, 0.183, 0.0]",grid_priority=77.0
source,load1,19,shape_quad,"[0.129, 0.0935, 0.019]","[0.16, 0.13, 0.0]",temp=1.0 grid_priority=45.0
block,card_guide.l.00,20,shape_hexa,"[0.019, 0.0995, 0.0225]","[0.01, 0.165, 0.007]",block_type=solid grid_priority=9.0
