name,kind,objects,time,object_types,grid_types,post_refs,post_missing,unknown_kinds,error
10-1transient,dir,15,transient,"domain:1,plate:1,block:9,source:4","domain:1,cyl2:9,hexa:1,quad:4",10,,,
10-2heat-st,dir,1,steady,domain:1,,0,,,
11-2BGA-package,dir,5,steady,"domain:1,package:1,pcb:1,wall:2","domain:1,quad:10,hexa:278,poly:4",4,,,
11-3joule-heating,dir,41,steady,"domain:1,material:4,part:3,pcb:1,block:26,source:2,heatsink:2,opening:2","domain:1,hexa:28,quad:8",2,,,
12-1datacenter,dir,259,steady,"domain:1,plate:10,block:56,fan:4,opening:132,resistance:44,ventres:12","domain:1,hexa:100,quad:202",0,,,
12-2avonics,dir,82,steady,"domain:1,material:2,block:31,wall:6,plate:4,opening:2,source:31,fan:1,part:2,heatsink:2","domain:1,hexa:45,cyl:3,quad:33",3,,,
12-3TEC Tutorial,dir,39,steady,"domain:1,material:11,block:16,part:2,package:1,pcb:1,wall:4,heatsink:1,source:2",,1,,,
5-1fin,dir,21,steady,"domain:1,block:1,opening:1,fan:3,source:5,plate:10","domain:1,hexa:11,quad:6,cyl:6",5,,,
5-2rf_amp,dir,19,steady,"domain:1,opening:1,enclosure:1,fan:1,wall:1,pcb:1,source:12,heatsink:1",,12,,,
6-1IDF,dir,131,steady,"domain:1,material:6,block:124",,0,,,
7-1hsink-rad,dir,21,steady,"domain:1,material:1,opening:2,wall:4,block:11,part:1,source:1","domain:1,hexa:2,quad:6",11,,,
7-2Heat-pipe,dir,49,steady,"domain:1,material:3,block:39,part:4,ventres:1,fan:1","domain:1,hexa:6,cyl:9,quad:2",41,,,
8-1cold-plate,dir,14,steady,"domain:1,opening:4,part:1,block:6,plate:2","domain:1,cyl:4,quad:2,hexa:1",8,,,
8-2yyhh,dir,9,steady,"domain:1,pcb:1,block:5,opening:2","domain:1,hexa:6,quad:2",1,,,
9-1FAN_Location,dir,16,steady,"domain:1,ventres:1,wall:1,block:9,part:2,heatsink:1,fan:1","domain:1,hexa:4,cyl:6,quad:1",11,,,
9-2Optimization,dir,32,steady,"domain:1,material:2,part:2,block:21,heatsink:2,opening:2,ventres:2","domain:1,hexa:6,cyl:3,quad:4",24,,,
9-3Loss_coefficient,dir,16,steady,"domain:1,block:1,opening:10,wall:4","domain:1,hexa:1,poly:16,quad:6",0,,,
BGA-package.tzr,tzr,5,steady,"domain:1,package:1,pcb:1,wall:2",,4,,,
Loss_coefficient.tzr,tzr,16,steady,"domain:1,block:1,opening:10,wall:4",,0,,,
TEC Tutorial.tzr,tzr,39,steady,"domain:1,material:11,block:16,part:2,package:1,pcb:1,wall:4,heatsink:1,source:2",,1,,,
avonics.tzr,tzr,82,steady,"domain:1,material:2,block:31,wall:6,plate:4,opening:2,source:31,fan:1,part:2,heatsink:2",,0,,,
datacenter.tzr,tzr,259,steady,"domain:1,plate:10,block:56,fan:4,opening:132,resistance:44,ventres:12",,0,,,
heat-st.tzr,tzr,11,transient,"domain:1,fan:1,opening:1,pcb:1,part:3,package:1,plate:1,heatsink:2",,3,,,
joule-heating.tzr,tzr,41,steady,"domain:1,material:4,part:3,pcb:1,block:26,source:2,heatsink:2,opening:2",,2,,,
transient.tzr,tzr,15,transient,"domain:1,plate:1,block:9,source:4",,10,,,
yyhh.tzr,tzr,9,steady,"domain:1,pcb:1,block:5,opening:2",,1,,,
